time,valence,comfort,saccade,frown,mouth_open,jaw,happy,surprise,neutral,sad,angry,fear,disgust
19.0,1.0,0.5804494613201019,0.24627421972655497,0.7772605818491761,0.6922412685195117,0.9246307108291938,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.2,1.0,0.518797543436347,0.22778709109242642,0.7557322516016203,0.8121220250391886,0.946934060351425,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.4,1.0,0.43355863288478746,0.04522705707368306,0.752902879573273,0.780250628589515,0.955715317266265,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.6,1.0,0.47668818891332,0.07493996477778993,0.776095598302359,0.7699464794207584,0.946765096730839,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.8,1.0,0.4571434209032015,0.04691008843246079,0.7785404727261043,0.8085942460939142,0.9531049847231948,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,0.4419340959197205,0.007250579424330151,0.7854225378972107,0.8016676607669558,0.9539144788928848,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.2,1.0,0.41013533543423575,0.01949859416503825,0.8128818541835703,0.7747108776522259,0.9532395340397225,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.4,1.0,0.4012076077269546,0.0031430648011015064,0.8372757964635854,0.7532741202591772,0.950233512802413,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.6,1.0,0.5755182117956517,0.2964699308139369,0.8039659292695,0.7685080560056529,0.9306389631822206,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.8,1.0,0.6522460733747555,0.6641411057744454,0.7214173872203337,0.7785603293443384,0.9281700779769761,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1.0,0.4519272204450147,0.1534848460311503,0.677084371458451,0.7607772888115998,0.9577454579959812,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.2,0.95,0.4593508261055512,0.21861810705866316,0.6861708895626091,0.5909264918597829,0.9389744259953706,0.95,0.0,0.05,0.0,0.0,0.0,0.0
21.4,0.5299999999999999,0.288096968416937,0.10316380989396522,0.6379327923820328,0.06398404745947568,0.9140142012369152,0.57,0.0,0.39,0.02,0.01,0.01,0.0
21.6,0.77,0.50100657401646,0.09926782429314222,0.3902960052599272,0.09555653102647442,0.9091239589511942,0.8,0.0,0.17,0.02,0.01,0.0,0.0
21.8,0.61,0.6632312901258248,0.30448991754841936,0.1326357633419895,0.10141340273776889,0.909494708645356,0.62,0.0,0.36,0.01,0.0,0.0,0.0
22.0,0.66,0.7293917160133802,0.49953799796222964,0.2262763983570196,0.07631685918729987,0.8898574822560341,0.66,0.0,0.33,0.0,0.0,0.0,0.0
22.2,0.71,0.6578414735281274,0.27385005242091737,0.3928805362848842,0.07869147168164595,0.8856474151912728,0.74,0.0,0.24,0.01,0.01,0.01,0.0
22.4,0.7999999999999999,0.4405798900315374,1.0,0.646663097762847,0.06879548274354685,0.8927749662529468,0.82,0.0,0.15,0.01,0.0,0.01,0.0
22.6,0.7100000000000001,0.41990027874760166,0.5162851766298363,0.7418726597851611,0.13220598162611338,0.8937897334080775,0.79,0.0,0.12,0.04,0.02,0.02,0.0
22.8,0.5700000000000001,0.3227959451757712,1.0,1.0,0.06438006909591294,0.8659790340024618,0.68,0.0,0.2,0.05,0.04,0.02,0.0
23.0,0.19,0.16098901012592715,0.4297383446114792,1.0,0.060462337811311315,0.8879837219432174,0.39,0.0,0.41,0.08,0.07,0.04,0.01
23.2,-0.09000000000000008,0.1788290329947553,0.10587085701154667,1.0,0.053101797740977265,0.8863800456950703,0.31,0.03,0.23,0.14,0.18,0.1,0.01
23.4,-0.43000000000000005,0.5826822199904437,1.0,1.0,0.953224078904504,0.9266585016835227,0.16,0.11,0.03,0.15,0.12,0.43,0.0
23.6,0.6600000000000001,1.0,1.0,0.8581358963914191,1.0,0.8379579828484718,0.78,0.05,0.0,0.06,0.02,0.09,0.0
23.8,-0.010000000000000009,1.0,0.5174379297422524,0.8426322458518342,0.725891727684598,0.8443988396800474,0.4,0.09,0.02,0.1,0.14,0.26,0.0
24.0,-0.81,0.398259991491707,1.0,0.9679784649520929,0.07358415816345497,0.87151814510479,0.01,0.0,0.16,0.26,0.33,0.23,0.0
24.2,-0.45000000000000007,0.33723364287253815,0.053777186664353376,0.8273044919175729,0.08336331313218368,0.8929523439434679,0.02,0.01,0.49,0.06,0.34,0.08,0.0
24.4,-0.1,0.5316644284423032,1.0,0.6035065562807925,0.16487245599721662,0.8935486058723734,0.1,0.0,0.7,0.06,0.08,0.06,0.0
24.6,-0.33999999999999997,0.0,1.0,0.7046700858079326,0.08498836743342626,0.9575124413204847,0.09,0.03,0.42,0.13,0.18,0.15,0.0
24.8,-0.24,0.07842433928517939,0.3719796057690302,0.6765275128586826,0.0945217158691939,0.9425922486601143,0.11,0.01,0.52,0.1,0.15,0.11,0.0
25.0,-0.29,0.34015149634101244,0.39106909299315723,0.5637318259141574,0.13846039229812265,0.9206598004369085,0.07,0.02,0.54,0.1,0.19,0.09,0.0
25.2,0.10000000000000003,0.11250436072759938,0.9144741996269912,0.6086367266189768,0.09710116714100753,0.943985118345296,0.27,0.02,0.51,0.05,0.04,0.1,0.0
25.4,0.97,0.3691812171918892,0.7488498031295899,0.5170882889145053,0.6047993877293075,0.9672620743021653,0.96,0.01,0.03,0.0,0.0,0.0,0.0
25.6,0.96,0.31518880245346625,0.2652363001564486,0.5226833919883692,0.47593455416233155,0.9613322774660996,0.95,0.02,0.02,0.0,0.0,0.01,0.0
25.8,1.0,0.29487681645541497,0.034346832131564926,0.523235831075441,0.7663049011546685,0.9930910707320147,0.99,0.01,0.0,0.0,0.0,0.0,0.0
26.0,1.0,0.4268046894766492,0.0994618811916549,0.5286824385227,0.8743899787407695,0.9852790995131975,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26.2,1.0,0.4645604126155662,0.21973386179666168,0.5495345833276799,0.8554492197842698,0.9764057426436639,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26.4,1.0,0.46281267681115895,0.024954269286969043,0.5077507424891817,0.8682129516069147,0.9815047448266906,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26.6,1.0,0.4361639773021426,0.10150487025413567,0.49189706654402804,0.8019028460299741,0.9799039490709536,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26.8,1.0,0.4477664958825832,0.04780189991157785,0.4808783374889274,0.779358441914323,0.9770006401287962,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,1.0,0.43504897587284086,0.23792215779884923,0.5254323288856388,0.8030696683994004,0.9772979372664986,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27.2,1.0,0.3530542068995662,0.17732431227012355,0.5354036334316512,0.8455274363334526,0.9919619177072274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27.4,1.0,0.37260448653316114,0.06042661098154656,0.5536182130593152,0.9007094856589337,0.9932246346169284,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27.6,1.0,0.36196374624937483,0.022168660591643942,0.5777735016537152,0.9077301450910994,0.9933180232129635,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27.8,1.0,0.36123566078812536,0.03956238175121648,0.5720696785675157,0.8688669183705333,0.9900242559443642,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,1.0,0.37664175072971845,0.0731536389369897,0.5360833544843844,0.8766052721859742,0.9917647555819944,0.99,0.01,0.0,0.0,0.0,0.0,0.0
28.2,1.0,0.3562939391790697,0.03580170488246038,0.5425844576610461,0.8878258852183634,0.9951268208416876,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.4,1.0,0.3463024681408185,0.01590849385217219,0.5269756227192828,0.8798872445982876,0.9970463658233396,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.6,1.0,0.3478242273826881,0.018362500001239596,0.5344145464901577,0.8641647304344449,0.9946281924450006,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.8,1.0,0.30644461180795346,0.03130065821991309,0.5459026277936346,0.8841903762493838,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,1.0,0.28813720326831566,0.06348648630469142,0.5604640382263099,0.8035916279508732,0.9945508739645169,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29.2,1.0,0.4139113486780056,0.4331912884492884,0.5008085719454017,0.8103513076073025,0.9830442922174955,0.99,0.01,0.0,0.0,0.0,0.0,0.0
29.4,0.99,0.37778320795170756,0.2184449830442129,0.47963115100595394,0.7075070680758158,0.9795534386260949,0.99,0.0,0.01,0.0,0.0,0.0,0.0
29.6,0.13,0.13768090560603488,0.08734618826636434,0.4671150910492537,0.0817261202367208,0.951123054340133,0.25,0.01,0.62,0.06,0.04,0.03,0.0
29.8,-0.26,0.15438277822695984,0.1288778698056575,0.4724255775054581,0.0728437039160167,0.9474830973652901,0.08,0.02,0.55,0.16,0.13,0.07,0.0
30.0,-0.21000000000000002,0.15298613283800747,0.05731984071806841,0.46235350806996384,0.07450062202708757,0.9487045019496347,0.16,0.03,0.4,0.2,0.12,0.08,0.0
30.2,-0.11999999999999997,0.13124553403483996,0.07244438368817163,0.5148696935408247,0.12066976514399634,0.9518038359805475,0.17,0.01,0.52,0.12,0.12,0.06,0.0
30.4,-0.24,0.09720244046971271,0.06839687759326625,0.4937329321181853,0.0960011070397929,0.9558337206648094,0.14,0.01,0.46,0.15,0.15,0.09,0.0
30.6,0.18000000000000002,0.1294206355017613,0.024253356007294648,0.481169141424362,0.10484103828072593,0.9533633952133599,0.34,0.02,0.47,0.07,0.04,0.07,0.0
30.8,0.1,0.10321451935791023,0.04958164422525062,0.45609989760431024,0.08809736487810044,0.9574445223415501,0.25,0.01,0.57,0.06,0.05,0.05,0.0
31.0,-0.09000000000000002,0.13762909634535553,0.12997571042036118,0.4908655522806475,0.0743109564923954,0.948352475456139,0.21,0.02,0.45,0.17,0.11,0.04,0.0
31.2,0.18,0.12481071362599269,0.03345950713136631,0.5031774307507659,0.08242560672866554,0.9498703433514357,0.3,0.02,0.54,0.05,0.06,0.03,0.0
31.4,-0.04999999999999999,0.11894744857166145,0.03543432155258417,0.4780958122951638,0.09521968503686111,0.9541060316381612,0.12,0.01,0.7,0.08,0.06,0.04,0.0
31.6,2.7755575615628914e-17,0.12032039397966475,0.037627326892947635,0.4550533569977613,0.10030272136661149,0.9564011776696132,0.14,0.01,0.69,0.06,0.06,0.03,0.0
